2023-09-07T11:42:57 JST, temp=46.2'C
2023-09-07T11:43:00 JST, temp=46.2'C
2023-09-07T11:43:03 JST, temp=46.2'C
2023-09-07T11:58:23 JST, 46.2°C
2023-09-07T11:58:26 JST, 46.2°C
2023-09-07T11:58:29 JST, 46.2°C
2023-09-07T11:58:32 JST, 46.2°C
2023-09-07T12:01:14 JST, 1112342. Dda
2023-09-07T12:01:17 JST, 1112342. Dda
2023-09-07T12:14:57 JST, 9999999
2023-09-07T12:14:59 JST, 9999999
2023-09-07T12:15:01 JST, 9999999
2023-09-07T13:27:00 JST, temp=44.0'C
2023-09-07T13:27:02 JST, temp=44.0'C
2023-09-07T13:27:04 JST, temp=44.0'C
2023-09-07T14:29:59 JST, 　　　　●○○○□□□□○○○○□□□□○○○○
2023-09-07T14:29:59 JST, 　　　　●●○○□□□□○○○○□□□□○○○○
2023-09-07T14:29:59 JST, 　　　　●●●○□□□□○○○○□□□□○○○○
2023-09-07T14:29:59 JST, 　　　　●●●●□□□□○○○○□□□□○○○○
2023-09-07T14:29:59 JST, 　　　　●●●●■□□□○○○○□□□□○○○○
2023-09-07T14:29:59 JST, 　　　　●●●●■■□□○○○○□□□□○○○○
2023-09-07T14:29:59 JST, 　　　　●●●●■■■□○○○○□□□□○○○○
2023-09-07T14:29:59 JST, 　　　　●●●●■■■■○○○○□□□□○○○○
2023-09-07T14:29:59 JST, 　　　　●●●●■■■■●○○○□□□□○○○○
2023-09-07T14:29:59 JST, 　　　　●●●●■■■■●●○○□□□□○○○○
2023-09-07T14:29:59 JST, 　　　　●●●●■■■■●●●○□□□□○○○○
2023-09-07T14:29:59 JST, 　　　　●●●●■■■■●●●●□□□□○○○○
2023-09-07T14:29:59 JST, 　　　　●●●●■■■■●●●●■□□□○○○○
2023-09-07T14:30:03 JST, 　　　　●○○○□□□□○○○○□□□□○○○○
2023-09-07T14:30:03 JST, 　　　　●●○○□□□□○○○○□□□□○○○○
2023-09-07T14:30:03 JST, 　　　　●●●○□□□□○○○○□□□□○○○○
2023-09-07T14:30:03 JST, 　　　　●●●●□□□□○○○○□□□□○○○○
2023-09-07T14:30:03 JST, 　　　　●●●●■□□□○○○○□□□□○○○○
2023-09-07T14:30:03 JST, 　　　　●●●●■■□□○○○○□□□□○○○○
2023-09-07T14:30:03 JST, 　　　　●●●●■■■□○○○○□□□□○○○○
2023-09-07T14:30:03 JST, 　　　　●●●●■■■■○○○○□□□□○○○○
2023-09-07T14:30:03 JST, 　　　　●●●●■■■■●○○○□□□□○○○○
2023-09-07T14:30:03 JST, 　　　　●●●●■■■■●●○○□□□□○○○○
2023-09-07T14:30:03 JST, 　　　　●●●●■■■■●●●○□□□□○○○○
2023-09-07T14:30:03 JST, 　　　　●●●●■■■■●●●●□□□□○○○○
2023-09-07T14:30:03 JST, 　　　　●●●●■■■■●●●●■□□□○○○○
2023-09-07T14:30:03 JST, 　　　　●●●●■■■■●●●●■■□□○○○○
2023-09-07T14:30:03 JST, 　　　　●●●●■■■■●●●●■■■□○○○○
2023-09-07T14:30:06 JST, 　　　　●○○○□□□□○○○○□□□□○○○○
2023-09-07T14:30:06 JST, 　　　　●●○○□□□□○○○○□□□□○○○○
2023-09-07T14:30:06 JST, 　　　　●●●○□□□□○○○○□□□□○○○○
2023-09-07T14:30:06 JST, 　　　　●●●●□□□□○○○○□□□□○○○○
2023-09-07T14:30:06 JST, 　　　　●●●●■□□□○○○○□□□□○○○○
2023-09-07T14:30:06 JST, 　　　　●●●●■■□□○○○○□□□□○○○○
2023-09-07T14:30:06 JST, 　　　　●●●●■■■□○○○○□□□□○○○○
2023-09-07T14:30:06 JST, 　　　　●●●●■■■■○○○○□□□□○○○○
2023-09-07T14:30:06 JST, 　　　　●●●●■■■■●○○○□□□□○○○○
2023-09-07T14:30:06 JST, 　　　　●●●●■■■■●●○○□□□□○○○○
2023-09-07T14:30:06 JST, 　　　　●●●●■■■■●●●○□□□□○○○○
2023-09-07T14:30:06 JST, 　　　　●●●●■■■■●●●●□□□□○○○○
2023-09-07T14:30:06 JST, 　　　　●●●●■■■■●●●●■□□□○○○○
2023-09-07T14:30:06 JST, 　　　　●●●●■■■■●●●●■■□□○○○○
2023-09-07T14:30:06 JST, 　　　　●●●●■■■■●●●●■■■□○○○○
2023-09-07T14:35:33 JST, 　　　　●●○○□□□□○○○○□□□□○○○○
2023-09-07T14:35:33 JST, 　　　　●●●○□□□□○○○○□□□□○○○○
2023-09-07T14:35:33 JST, 　　　　●●●●□□□□○○○○□□□□○○○○
2023-09-07T14:35:33 JST, 　　　　●●●●■□□□○○○○□□□□○○○○
2023-09-07T14:35:33 JST, 　　　　●●●●■■□□○○○○□□□□○○○○
2023-09-07T14:35:33 JST, 　　　　●●●●■■■□○○○○□□□□○○○○
2023-09-07T14:35:33 JST, 　　　　●●●●■■■■○○○○□□□□○○○○
2023-09-07T14:35:33 JST, 　　　　●●●●■■■■●○○○□□□□○○○○
2023-09-07T14:35:33 JST, 　　　　●●●●■■■■●●○○□□□□○○○○
