2024-09-04T15:47:07 JST, temp=53.7'C
2024-09-04T15:47:10 JST, temp=53.7'C
2024-09-04T15:47:13 JST, temp=53.7'C
2024-09-04T15:47:16 JST, temp=53.2'C
2024-09-04T15:47:19 JST, temp=53.2'C
2024-09-04T15:47:22 JST, temp=53.2'C
2024-09-04T15:47:25 JST, temp=53.2'C
2024-09-04T15:47:28 JST, temp=53.7'C
2024-09-04T15:47:31 JST, temp=53.2'C
2024-09-04T15:50:24 JST, temp=53.7'C
2024-09-04T15:50:27 JST, temp=53.2'C
2024-09-04T15:50:30 JST, temp=52.6'C
2024-09-04T15:50:33 JST, temp=53.7'C
2024-09-04T15:50:36 JST, temp=53.2'C
2024-09-04T15:50:39 JST, temp=53.7'C
2024-09-04T15:50:42 JST, temp=53.2'C
2024-09-04T15:50:45 JST, temp=53.7'C
2024-09-04T15:50:48 JST, temp=53.7'C
2024-09-04T15:50:51 JST, temp=52.6'C
2024-09-04T15:50:54 JST, temp=52.6'C
2024-09-04T15:50:57 JST, temp=52.6'C
2024-09-04T15:51:00 JST, temp=53.2'C
2024-09-04T15:58:51 JST, temp=56.9'C
2024-09-04T15:58:54 JST, temp=56.4'C
2024-09-04T15:58:57 JST, temp=56.4'C
2024-09-04T15:59:00 JST, temp=55.8'C
2024-09-04T15:59:03 JST, temp=55.8'C
2024-09-04T15:59:06 JST, temp=55.8'C
2024-09-04T16:01:59 JST, temp=52.6'C
2024-09-04T16:02:02 JST, temp=52.6'C
2024-09-04T16:02:05 JST, temp=52.6'C
2024-09-04T16:02:08 JST, temp=52.6'C
2024-09-04T16:02:12 JST, temp=52.6'C
2024-09-04T16:02:15 JST, temp=52.6'C
2024-09-04T16:05:42 JST, temp=50.5'C
2024-09-04T16:05:45 JST, temp=51.5'C
2024-09-04T16:05:48 JST, temp=51.5'C
2024-09-04T16:05:51 JST, temp=51.5'C
2024-09-04T16:05:54 JST, temp=51.5'C
2024-09-04T16:05:57 JST, temp=51.5'C
2024-09-04T16:06:00 JST, temp=51.5'C
2024-09-04T16:06:03 JST, temp=51.5'C
2024-09-04T16:06:06 JST, temp=51.5'C
2024-09-04T16:06:09 JST, temp=51.5'C
2024-09-04T16:06:12 JST, temp=51.5'C
2024-09-04T16:06:15 JST, temp=51.5'C
2024-09-04T16:06:18 JST, temp=50.5'C
2024-09-04T16:06:21 JST, temp=51.5'C
2024-09-04T16:06:24 JST, temp=51.0'C
2024-09-04T16:06:27 JST, temp=50.5'C
2024-09-04T16:06:30 JST, temp=50.5'C
2024-09-04T16:06:33 JST, temp=51.5'C
2024-09-04T16:06:36 JST, temp=51.0'C
2024-09-04T16:06:39 JST, temp=51.0'C
2024-09-04T16:06:43 JST, temp=51.0'C
2024-09-04T16:06:48 JST, temp=51.0'C
2024-09-04T16:06:51 JST, temp=51.0'C
2024-09-04T16:06:54 JST, temp=50.5'C
2024-09-04T16:06:57 JST, temp=51.5'C
2024-09-04T16:07:00 JST, temp=51.0'C
2024-09-04T16:07:03 JST, temp=51.0'C
2024-09-04T16:07:06 JST, temp=50.5'C
2024-09-04T16:07:09 JST, temp=50.5'C
2024-09-04T16:10:49 JST, temp=51.5'C
2024-09-04T16:10:53 JST, temp=50.5'C
2024-09-04T16:10:56 JST, temp=51.0'C
2024-09-04T16:19:35 JST, temp=51.5'C
2024-09-04T16:19:38 JST, temp=51.0'C
2024-09-04T16:19:41 JST, temp=51.0'C
2024-09-04T16:19:44 JST, temp=51.5'C
2024-09-04T16:19:47 JST, temp=51.0'C
2024-09-04T16:19:50 JST, temp=50.5'C
2024-09-04T16:25:11 JST, temp=51.0'C
2024-09-04T16:25:14 JST, temp=51.5'C
2024-09-04T16:25:17 JST, temp=50.5'C
2024-09-04T16:26:27 JST, temp=51.5'C
2024-09-04T16:26:30 JST, temp=51.5'C
2024-09-04T16:26:33 JST, temp=51.5'C
2024-09-04T16:26:36 JST, temp=51.5'C
2024-09-04T16:26:39 JST, temp=51.5'C
2024-09-04T16:26:42 JST, temp=51.0'C
2024-09-04T16:26:45 JST, temp=51.5'C
2024-09-04T16:28:54 JST, temp=51.5'C
2024-09-04T16:28:57 JST, temp=51.5'C
2024-09-04T16:29:00 JST, temp=51.5'C
2024-09-04T16:29:03 JST, temp=51.5'C
2024-09-04T16:29:06 JST, temp=51.5'C
2024-09-04T16:29:09 JST, temp=51.5'C
2024-09-04T16:29:12 JST, temp=51.5'C
2024-09-04T16:29:15 JST, temp=51.5'C
2024-09-04T16:29:18 JST, temp=51.5'C
2024-09-04T16:29:21 JST, temp=52.1'C
2024-09-04T16:53:46 JST, temp=52.6'C
2024-09-04T16:53:49 JST, temp=52.6'C
2024-09-04T16:53:52 JST, temp=52.6'C
2024-09-04T16:53:55 JST, temp=52.6'C
2024-09-04T16:53:58 JST, temp=52.6'C
2024-09-04T16:54:01 JST, temp=52.6'C
2024-09-05T10:50:39 JST, temp=42.9'C
2024-09-05T10:50:42 JST, temp=41.9'C
2024-09-05T10:50:45 JST, temp=41.9'C
